date,year,month,day,day_of_year,season,city,latitude,longitude,temp_mean_c,temp_max_c,temp_min_c,temp_range_c,feels_like_c,dew_point_c,humidity_pct,precipitation_mm,wind_speed_kmh,wind_direction_deg,pressure_hpa,solar_radiation_mj_m2,sunshine_hours,weather_code,weather_description,nasa_temp_mean_c,nasa_temp_max_c,nasa_temp_min_c,nasa_precipitation_mm,nasa_humidity_pct,nasa_wind_speed_kmh,nasa_wind_direction_deg,nasa_pressure_hpa,data_source,dengue_new_hospitalizations,dengue_deaths,dengue_discharges,dengue_active_cases,dengue_cumulative_cases_yr,dengue_cumulative_deaths_yr,dengue_cfr_running_pct,dengue_dominant_serotype,dengue_alert_level,dengue_source,dengue_7day_avg,dengue_14day_avg,precip_lag7d_mm,precip_lag14d_mm,precip_lag21d_mm,humidity_lag7d_pct,humidity_lag14d_pct,humidity_lag21d_pct
2021-04-25,2021,4,25,115,Pre-Monsoon,Dhaka,23.71,90.41,31.78,39.8,24.34,15.5,31.1,21.2,47.2,0.0,8.14,173.7,1006.0,18.3,8.2,3,Overcast,31.78,39.8,24.34,0.0,47.16,8.14,173.7,1006.0,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),3,0,17,20,68,1,1.4706,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),3.6,4.0,14.24,0.11,,61.9,51.8,
2021-04-26,2021,4,26,116,Pre-Monsoon,Dhaka,23.71,90.41,32.9,40.02,26.1,13.9,32.3,22.5,48.0,0.0,8.82,194.8,1005.5,20.0,6.7,51,Light drizzle,32.9,40.02,26.1,0.0,47.99,8.82,194.8,1005.5,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),2,0,16,18,70,1,1.4286,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),3.4,3.9,0.36,0.02,,55.1,48.6,
2021-04-27,2021,4,27,117,Pre-Monsoon,Dhaka,23.71,90.41,32.72,39.09,27.33,11.8,32.3,23.2,52.2,0.0,12.78,181.0,1006.2,18.3,7.2,51,Light drizzle,32.72,39.09,27.33,0.0,52.16,12.78,181.0,1006.2,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),1,0,15,16,71,1,1.4085,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),3.3,3.8,0.51,0.01,,58.6,41.9,
2021-04-28,2021,4,28,118,Pre-Monsoon,Dhaka,23.71,90.41,31.93,38.48,26.85,11.6,31.8,23.2,56.4,0.03,12.35,162.6,1008.2,25.6,5.6,61,Moderate rain,31.93,38.48,26.85,0.03,56.38,12.35,162.6,1008.2,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),3,0,11,14,74,1,1.3514,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),3.1,3.8,0.07,0.01,,59.8,48.1,
2021-04-29,2021,4,29,119,Pre-Monsoon,Dhaka,23.71,90.41,31.03,35.17,27.34,7.8,30.9,22.4,56.6,1.7,4.93,166.0,1008.3,18.0,4.2,2,Partly cloudy,31.03,35.17,27.34,1.7,56.65,4.93,166.0,1008.3,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),2,0,9,11,76,1,1.3158,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),3.0,3.6,4.46,0.02,,56.5,59.4,
2021-04-30,2021,4,30,120,Pre-Monsoon,Dhaka,23.71,90.41,31.49,37.31,26.3,11.0,31.1,21.9,52.0,2.98,7.42,200.0,1006.9,21.1,5.5,51,Light drizzle,31.49,37.31,26.3,2.98,52.05,7.42,200.0,1006.9,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),1,0,8,9,77,1,1.2987,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),2.4,3.4,0.07,0.65,,50.5,53.9,
2021-05-01,2021,5,1,121,Pre-Monsoon,Dhaka,23.71,90.41,32.01,38.38,26.39,12.0,31.6,22.6,52.8,0.41,11.16,184.1,1007.4,14.4,6.6,1,Mainly clear,32.01,38.38,26.39,0.41,52.82,11.16,184.1,1007.4,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),5,0,7,12,82,1,1.2195,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),2.4,3.2,0.0,10.83,1.26,37.5,62.2,51.0
2021-05-02,2021,5,2,122,Pre-Monsoon,Dhaka,23.71,90.41,31.79,37.79,26.08,11.7,31.5,22.7,54.6,1.51,12.38,185.4,1007.4,20.1,4.0,51,Light drizzle,31.79,37.79,26.08,1.51,54.6,12.38,185.4,1007.4,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),4,0,11,15,86,1,1.1628,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),2.6,3.1,0.0,14.24,0.11,47.2,61.9,51.8
2021-05-03,2021,5,3,123,Pre-Monsoon,Dhaka,23.71,90.41,28.46,31.26,26.23,5.0,29.1,22.8,71.9,14.43,9.47,154.4,1007.0,20.5,6.2,2,Partly cloudy,28.46,31.26,26.23,14.43,71.89,9.47,154.4,1007.0,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),3,0,12,15,89,1,1.1236,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),2.7,3.1,0.0,0.36,0.02,48.0,55.1,48.6
2021-05-04,2021,5,4,124,Pre-Monsoon,Dhaka,23.71,90.41,27.26,30.07,24.79,5.3,28.0,22.2,74.8,27.31,5.87,326.9,1008.2,7.2,2.4,95,Thunderstorm,27.26,30.07,24.79,27.31,74.78,5.87,326.9,1008.2,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),7,0,13,20,96,1,1.0417,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),3.6,3.4,0.0,0.51,0.01,52.2,58.6,41.9
2021-05-05,2021,5,5,125,Pre-Monsoon,Dhaka,23.71,90.41,26.81,29.81,24.1,5.7,27.4,21.0,71.0,4.63,6.34,52.9,1008.5,16.3,4.7,2,Partly cloudy,26.81,29.81,24.1,4.63,71.0,6.34,52.9,1008.5,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),9,0,19,28,105,1,0.9524,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),4.4,3.8,0.03,0.07,0.01,56.4,59.8,48.1
2021-05-06,2021,5,6,126,Pre-Monsoon,Dhaka,23.71,90.41,28.85,34.29,23.28,11.0,29.0,21.3,62.1,2.21,6.91,121.1,1009.1,14.6,6.1,61,Moderate rain,28.85,34.29,23.28,2.21,62.09,6.91,121.1,1009.1,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),8,0,23,31,113,1,0.885,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),5.3,4.1,1.7,4.46,0.02,56.6,56.5,59.4
2021-05-07,2021,5,7,127,Pre-Monsoon,Dhaka,23.71,90.41,29.73,34.73,25.2,9.5,30.1,23.1,66.8,7.8,8.93,180.4,1009.9,8.1,2.4,95,Thunderstorm,29.73,34.73,25.2,7.8,66.76,8.93,180.4,1009.9,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),7,0,27,34,120,1,0.8333,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),6.1,4.3,2.98,0.07,0.65,52.0,50.5,53.9
2021-05-08,2021,5,8,128,Pre-Monsoon,Dhaka,23.71,90.41,29.72,34.17,24.95,9.2,30.0,22.9,66.0,4.98,5.9,189.9,1008.6,11.2,2.6,80,Rain showers,29.72,34.17,24.95,4.98,66.05,5.9,189.9,1008.6,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),7,0,31,38,127,1,0.7874,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),6.4,4.4,0.41,0.0,10.83,52.8,37.5,62.2
2021-05-09,2021,5,9,129,Pre-Monsoon,Dhaka,23.71,90.41,30.59,35.6,25.29,10.3,30.6,22.4,59.2,2.71,5.0,204.7,1007.0,17.0,4.7,51,Light drizzle,30.59,35.6,25.29,2.71,59.23,5.0,204.7,1007.0,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),7,0,31,38,134,1,0.7463,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),6.9,4.7,1.51,0.0,14.24,54.6,47.2,61.9
2021-05-10,2021,5,10,130,Pre-Monsoon,Dhaka,23.71,90.41,29.96,34.82,25.68,9.1,30.3,23.5,67.6,12.97,11.23,210.0,1005.8,19.8,5.5,2,Partly cloudy,29.96,34.82,25.68,12.97,67.62,11.23,210.0,1005.8,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),8,0,29,37,142,1,0.7042,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),7.6,5.1,14.43,0.0,0.36,71.9,48.0,55.1
2021-05-11,2021,5,11,131,Pre-Monsoon,Dhaka,23.71,90.41,29.2,33.0,25.5,7.5,29.8,23.6,72.2,15.59,6.98,185.8,1005.6,16.8,6.5,80,Rain showers,29.2,33.0,25.5,15.59,72.2,6.98,185.8,1005.6,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),4,0,29,33,146,1,0.6849,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),7.1,5.4,27.31,0.0,0.51,74.8,52.2,58.6
2021-05-12,2021,5,12,132,Pre-Monsoon,Dhaka,23.71,90.41,29.07,32.8,25.71,7.1,29.6,23.4,71.5,8.71,4.97,160.0,1004.4,15.5,7.0,1,Mainly clear,29.07,32.8,25.71,8.71,71.5,4.97,160.0,1004.4,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),4,0,26,30,150,1,0.6667,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),6.4,5.4,4.63,0.03,0.07,71.0,56.4,59.8
2021-05-13,2021,5,13,133,Pre-Monsoon,Dhaka,23.71,90.41,29.18,33.8,25.37,8.4,29.8,23.8,73.1,9.53,11.12,184.7,1004.0,15.0,5.6,61,Moderate rain,29.18,33.8,25.37,9.53,73.07,11.12,184.7,1004.0,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),15,0,23,38,165,1,0.6061,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),7.4,6.4,2.21,1.7,4.46,62.1,56.6,56.5
2021-05-14,2021,5,14,134,Pre-Monsoon,Dhaka,23.71,90.41,29.8,34.87,25.36,9.5,30.4,24.1,71.3,10.07,10.04,208.0,1002.8,9.2,1.7,80,Rain showers,29.8,34.87,25.36,10.07,71.32,10.04,208.0,1002.8,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),6,0,31,37,171,1,0.5848,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),7.3,6.7,7.8,2.98,0.07,66.8,52.0,50.5
2021-05-15,2021,5,15,135,Pre-Monsoon,Dhaka,23.71,90.41,31.49,37.99,25.98,12.0,31.9,25.0,67.6,5.81,13.86,190.9,1004.0,18.2,9.6,2,Partly cloudy,31.49,37.99,25.98,5.81,67.64,13.86,190.9,1004.0,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),4,0,29,33,175,1,0.5714,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),6.9,6.6,4.98,0.41,0.0,66.0,52.8,37.5
2021-05-16,2021,5,16,136,Pre-Monsoon,Dhaka,23.71,90.41,31.06,35.59,26.73,8.9,31.6,25.4,71.5,25.07,9.58,196.4,1005.5,19.2,6.3,61,Moderate rain,31.06,35.59,26.73,25.07,71.5,9.58,196.4,1005.5,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),7,0,29,36,182,1,0.5495,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),6.9,6.9,2.71,1.51,0.0,59.2,54.6,47.2
2021-05-17,2021,5,17,137,Pre-Monsoon,Dhaka,23.71,90.41,32.14,37.15,27.29,9.9,32.6,26.0,69.1,3.55,10.3,212.9,1005.2,18.7,7.1,80,Rain showers,32.14,37.15,27.29,3.55,69.09,10.3,212.9,1005.2,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),4,0,32,36,186,1,0.5376,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),6.3,6.9,12.97,14.43,0.0,67.6,71.9,48.0
2021-05-18,2021,5,18,138,Pre-Monsoon,Dhaka,23.71,90.41,31.61,36.67,27.54,9.1,32.3,26.2,72.9,9.86,12.78,211.8,1004.4,18.8,6.6,2,Partly cloudy,31.61,36.67,27.54,9.86,72.92,12.78,211.8,1004.4,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),6,0,21,27,192,1,0.5208,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),6.6,6.9,15.59,27.31,0.0,72.2,74.8,52.2
2021-05-19,2021,5,19,139,Pre-Monsoon,Dhaka,23.71,90.41,30.65,33.96,27.61,6.4,31.5,26.2,77.7,5.42,12.35,211.2,1004.0,7.8,3.2,80,Rain showers,30.65,33.96,27.61,5.42,77.74,12.35,211.2,1004.0,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),5,0,21,26,197,1,0.5076,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),6.7,6.6,8.71,4.63,0.03,71.5,71.0,56.4
2021-05-20,2021,5,20,140,Pre-Monsoon,Dhaka,23.71,90.41,30.98,34.11,27.9,6.2,31.8,26.3,76.8,3.22,12.28,227.5,1003.8,16.9,8.1,3,Overcast,30.98,34.11,27.9,3.22,76.78,12.28,227.5,1003.8,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),3,0,22,25,200,1,0.5,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),5.0,6.2,9.53,2.21,1.7,73.1,62.1,56.6
2021-05-21,2021,5,21,141,Pre-Monsoon,Dhaka,23.71,90.41,30.94,35.39,27.77,7.6,31.6,25.7,73.6,1.53,14.0,213.7,1003.4,19.3,8.2,2,Partly cloudy,30.94,35.39,27.77,1.53,73.61,14.0,213.7,1003.4,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),5,0,18,23,205,1,0.4878,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),4.9,6.1,10.07,7.8,2.98,71.3,66.8,52.0
2021-05-22,2021,5,22,142,Pre-Monsoon,Dhaka,23.71,90.41,31.83,36.9,27.55,9.3,32.4,25.9,70.4,0.13,10.3,222.9,1002.0,9.8,2.2,61,Moderate rain,31.83,36.9,27.55,0.13,70.38,10.3,222.9,1002.0,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),3,0,19,22,208,1,0.4808,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),4.7,5.8,5.81,4.98,0.41,67.6,66.0,52.8
2021-05-23,2021,5,23,143,Pre-Monsoon,Dhaka,23.71,90.41,32.17,36.02,28.89,7.1,32.5,25.6,67.2,0.09,5.22,21.9,1001.4,6.8,3.1,80,Rain showers,32.17,36.02,28.89,0.09,67.25,5.22,21.9,1001.4,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),3,0,16,19,211,1,0.4739,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),4.1,5.5,25.07,2.71,1.51,71.5,59.2,54.6
2021-05-24,2021,5,24,144,Pre-Monsoon,Dhaka,23.71,90.41,29.86,32.88,27.77,5.1,30.8,25.6,78.5,7.78,9.14,56.3,1001.2,20.4,3.4,61,Moderate rain,29.86,32.88,27.77,7.78,78.49,9.14,56.3,1001.2,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),5,0,14,19,216,1,0.463,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),4.3,5.3,3.55,12.97,14.43,69.1,67.6,71.9
2021-05-25,2021,5,25,145,Pre-Monsoon,Dhaka,23.71,90.41,29.57,33.34,26.89,6.5,30.5,25.2,78.2,29.78,17.6,125.8,999.2,6.5,2.5,80,Rain showers,29.57,33.34,26.89,29.78,78.15,17.6,125.8,999.2,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),8,0,16,24,224,1,0.4464,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),4.6,5.6,9.86,15.59,27.31,72.9,72.2,74.8
2021-05-26,2021,5,26,146,Pre-Monsoon,Dhaka,23.71,90.41,28.3,31.47,25.63,5.8,29.2,24.1,78.8,13.97,32.08,132.6,997.8,19.0,6.9,61,Moderate rain,28.3,31.47,25.63,13.97,78.75,32.08,132.6,997.8,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),5,0,19,24,229,1,0.4367,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),4.6,5.6,5.42,8.71,4.63,77.7,71.5,71.0
2021-05-27,2021,5,27,147,Pre-Monsoon,Dhaka,23.71,90.41,29.48,32.98,26.5,6.5,30.4,25.1,78.1,3.6,31.68,149.4,1001.3,10.7,3.2,80,Rain showers,29.48,32.98,26.5,3.6,78.09,31.68,149.4,1001.3,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),3,0,21,24,232,1,0.431,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),4.6,4.8,3.22,9.53,2.21,76.8,73.1,62.1
2021-05-28,2021,5,28,148,Pre-Monsoon,Dhaka,23.71,90.41,30.65,34.94,27.34,7.6,31.5,26.1,77.4,3.69,17.14,162.4,1004.8,14.5,5.4,80,Rain showers,30.65,34.94,27.34,3.69,77.39,17.14,162.4,1004.8,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),2,0,21,23,234,1,0.4274,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),4.1,4.5,1.53,10.07,7.8,73.6,71.3,66.8
2021-05-29,2021,5,29,149,Pre-Monsoon,Dhaka,23.71,90.41,30.64,35.16,26.45,8.7,31.4,25.8,76.0,1.9,11.48,186.9,1004.7,16.6,6.5,1,Mainly clear,30.64,35.16,26.45,1.9,75.96,11.48,186.9,1004.7,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),6,0,18,24,240,1,0.4167,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),4.6,4.6,0.13,5.81,4.98,70.4,67.6,66.0
2021-05-30,2021,5,30,150,Pre-Monsoon,Dhaka,23.71,90.41,30.65,34.64,26.93,7.7,31.4,25.8,75.9,2.57,13.18,197.8,1003.3,19.2,5.0,1,Mainly clear,30.65,34.64,26.93,2.57,75.89,13.18,197.8,1003.3,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),12,0,16,28,252,1,0.3968,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),5.9,5.0,0.09,25.07,2.71,67.2,71.5,59.2
